rainfall_mm	soil_moisture	slope_deg	ground_movement_mm	elevation_m	landslide
193.89	63.04	39.59	7.98	1292.97	0
190.37	67.55	38.37	8.91	1301.8	0
143.14	81.91	23.54	5.14	1039.23	0
122.43	49.21	53.52	12.95	3936.27	0
56.43	40.37	49.74	6.69	1694.37	0
125.67	27.41	20.81	7.36	2499.6	0
35.13	21.91	6.55	5.46	1336.46	0
92.13	55.01	20.42	7.59	2980.92	0
47.2	35.21	15.24	8.13	515.91	0
126.01	5.0	32.36	5.01	393.73	0
218.26	76.11	50.94	10.96	3151.56	1
39.29	51.66	48.52	6.69	3079.34	1
58.53	8.92	20.29	7.37	1186.51	0
90.97	58.25	26.43	5.65	1555.69	0
17.01	5.0	6.83	6.15	4024.77	0
22.59	36.23	32.21	4.8	527.75	0
214.37	67.06	8.17	6.85	850.9	0
106.34	15.19	51.93	9.62	1863.16	1
54.11	37.26	48.35	7.63	1256.61	0
84.49	52.4	15.71	9.13	2760.94	0
60.82	37.75	39.97	14.15	2931.47	0
92.82	47.44	33.4	4.38	2258.19	0
62.5	28.81	45.07	6.6	2605.91	0
80.01	15.27	28.78	6.41	1877.03	0
133.23	57.61	14.59	15.61	3217.59	1
127.8	69.11	36.99	9.12	272.6	0
207.01	79.1	9.01	11.5	1382.85	0
111.33	20.64	34.23	8.2	2906.16	1
88.22	21.23	15.64	4.51	1451.54	0
225.96	59.56	39.25	6.15	421.99	0
74.29	17.23	46.4	4.82	1514.56	0
10.64	22.87	10.48	10.35	3017.13	0
144.26	56.46	25.01	5.4	600.14	1
102.82	25.46	41.68	10.01	3070.99	0
85.4	48.11	13.19	11.23	3279.37	0
146.68	59.48	33.33	6.75	2704.73	0
62.9	27.26	38.59	5.36	1101.36	0
11.27	20.41	22.74	5.74	3401.71	0
148.51	29.27	46.6	6.69	979.21	1
52.68	27.6	30.53	8.92	3813.87	1
40.59	29.02	36.35	7.01	2997.25	0
11.97	24.66	12.04	2.25	324.35	0
140.74	55.51	6.16	11.41	3377.08	0
6.65	24.39	7.54	4.72	2176.38	0
184.55	57.43	50.2	11.1	1955.86	0
67.46	38.28	49.13	5.15	1824.1	0
145.01	63.93	45.38	11.93	2587.18	0
113.55	43.83	14.98	9.4	3070.77	0
251.57	79.16	31.27	14.05	3773.5	1
111.54	42.31	44.81	5.1	1219.07	0
180.34	51.91	38.73	10.82	2686.18	1
57.15	38.85	10.78	12.14	2914.0	0
22.5	18.29	49.78	7.9	2866.67	0
159.3	59.68	13.03	6.53	2121.3	0
21.87	25.15	13.59	6.81	1703.19	0
139.75	47.1	50.05	10.66	3225.75	1
36.74	24.14	29.23	5.43	1330.04	0
104.15	36.82	23.64	4.27	953.02	0
254.44	56.23	32.68	15.17	2337.9	1
132.89	53.83	54.07	6.27	1197.2	0
74.52	39.17	10.98	6.19	236.26	0
115.28	55.56	42.85	2.77	311.46	0
58.72	26.54	21.72	7.77	2949.54	1
314.3	100.0	10.85	19.89	4089.9	1
49.67	26.37	26.1	6.69	1964.22	0
80.38	27.18	32.44	9.72	702.95	0
125.37	35.66	15.3	10.33	3454.14	1
109.88	23.37	25.26	6.79	1171.89	0
118.1	64.37	36.78	16.93	4182.07	0
59.64	49.57	33.82	4.32	2409.38	0
72.35	43.13	41.16	1.84	1053.79	0
154.71	43.28	46.82	8.06	2133.62	0
149.94	74.72	25.46	9.62	1475.06	1
111.61	40.33	26.15	6.99	3295.84	0
194.27	59.51	29.83	8.48	533.85	0
158.59	72.14	33.32	13.68	3613.71	0
147.1	60.27	10.42	15.36	3246.08	0
21.48	51.14	20.63	11.12	3631.59	0
110.72	47.34	13.59	11.95	3769.47	0
97.95	36.78	24.29	8.63	1042.09	0
209.64	58.78	53.67	12.74	2236.12	1
3.27	5.0	34.14	7.59	3584.68	0
77.23	33.65	26.47	3.87	1647.29	0
92.61	54.11	33.3	3.09	347.67	0
36.34	35.18	38.45	4.87	1295.7	0
42.41	29.57	26.75	4.8	1091.87	0
210.05	54.27	27.39	9.07	3667.26	0
117.81	48.64	40.07	7.97	2001.77	1
254.79	88.21	8.04	12.94	2902.53	1
76.24	41.94	32.0	12.5	4044.69	0
26.47	27.82	32.37	8.2	1326.67	0
68.67	25.54	42.84	10.14	3220.92	0
60.37	43.69	54.13	1.75	193.33	0
135.86	12.31	44.79	2.07	526.88	0
132.4	53.72	30.19	7.6	763.65	1
121.62	77.6	13.47	4.73	1380.92	0
303.03	68.57	34.41	14.35	1752.25	1
187.36	58.32	46.71	13.54	2055.77	0
44.84	29.77	51.62	1.73	1105.86	1
161.85	50.06	46.27	7.66	371.48	0
88.5	51.91	14.45	11.67	2877.84	0
74.76	42.12	40.63	6.02	197.01	0
201.87	66.24	49.01	9.0	3418.83	1
42.58	38.93	39.05	8.48	3909.53	1
155.14	54.33	39.29	8.57	3012.51	1
140.04	88.97	30.01	10.99	2543.44	1
41.92	31.04	36.85	8.97	2793.78	0
20.77	26.91	19.72	1.12	2774.11	0
81.86	17.48	9.44	9.96	3919.99	0
173.59	51.67	46.39	15.87	4053.65	0
110.44	58.07	52.16	8.59	1849.52	0
205.87	49.27	47.84	12.42	2630.02	1
105.52	17.32	21.7	9.66	3391.51	0
214.33	67.54	9.68	3.98	104.26	0
55.68	48.7	19.01	6.85	2260.77	0
121.37	47.21	47.14	10.38	2776.79	1
65.06	30.28	37.79	10.51	3040.54	0
80.09	15.32	53.33	8.59	1612.04	1
92.4	45.75	22.13	6.18	1312.14	1
110.21	52.18	32.57	8.17	846.78	0
49.99	9.62	44.5	6.81	2387.04	0
117.62	59.49	16.7	8.42	3869.14	0
89.25	48.82	53.2	12.66	3773.51	0
27.85	39.71	34.62	5.49	1575.86	1
17.84	30.93	5.39	4.49	1157.21	0
173.99	66.12	6.26	8.89	3334.05	0
77.34	43.26	49.11	13.75	3072.42	0
25.2	35.97	37.26	7.97	2171.89	0
235.91	50.07	43.15	10.23	1695.02	1
125.45	29.59	44.2	3.9	607.57	0
108.28	34.99	26.02	12.87	3319.07	1
46.52	28.68	44.93	5.63	2631.6	0
27.49	30.71	51.88	10.75	1645.21	0
98.05	45.47	13.61	9.68	3867.03	0
85.44	52.2	43.21	13.11	2804.66	0
36.84	41.89	20.39	9.34	3909.88	0
35.75	17.4	21.07	9.49	2045.09	0
34.23	30.39	25.64	4.31	1963.93	0
33.22	17.13	48.19	10.46	3942.68	0
54.29	29.68	6.1	11.85	4035.14	1
108.31	47.69	26.7	13.41	4039.15	1
120.53	5.61	39.0	13.82	3457.48	0
84.22	67.46	10.52	5.79	1995.87	0
95.04	47.71	44.61	6.1	962.23	0
124.28	40.19	52.1	11.0	1672.11	0
13.43	46.08	9.55	7.42	3947.02	1
100.13	37.86	12.65	7.76	1590.57	0
192.56	63.95	53.7	12.58	3202.54	1
75.92	30.86	14.89	10.99	3884.32	1
169.6	77.14	8.95	13.31	4078.61	1
76.91	35.66	52.61	9.97	3985.46	1
129.66	50.32	49.63	9.16	2375.74	1
106.85	57.95	37.79	8.67	2116.71	1
33.75	34.45	32.57	10.23	4149.33	0
40.8	28.32	50.96	8.24	994.53	0
214.32	80.48	37.78	10.76	868.87	0
148.03	83.03	37.92	13.88	4049.05	0
80.62	41.54	47.18	7.87	2925.7	0
73.28	37.52	37.66	6.06	2298.85	1
46.77	32.34	30.18	8.05	641.4	0
112.94	60.57	24.49	6.12	2204.29	1
50.0	23.81	30.16	10.7	3971.31	0
66.55	31.3	31.12	8.88	2571.85	1
54.12	13.46	23.04	5.26	1758.98	0
142.21	37.08	27.41	7.25	2359.52	0
78.29	31.01	45.09	9.32	3733.19	1
95.53	40.34	25.83	10.02	3842.68	0
34.34	48.78	6.28	3.44	1740.36	0
53.84	38.28	19.15	10.43	2593.05	1
96.96	30.39	16.59	5.81	1244.73	0
21.91	16.08	44.68	4.91	1949.45	0
74.19	52.82	27.46	5.28	1001.52	0
86.02	52.44	19.02	9.15	2279.04	1
30.71	27.09	45.54	6.59	2470.78	0
164.91	50.97	5.96	9.73	1485.13	1
109.39	57.57	13.71	3.21	1215.69	0
77.88	25.21	46.35	7.62	719.2	0
50.89	35.9	32.53	3.91	672.13	0
21.11	51.92	43.68	8.05	3016.99	1
157.07	57.02	46.91	6.09	1008.72	0
62.1	24.35	52.1	1.82	583.71	0
26.47	30.75	8.17	6.09	4195.37	0
49.78	25.31	44.96	3.52	1165.66	0
117.09	29.03	40.44	13.28	3773.8	1
102.02	50.86	15.35	6.51	2597.66	0
36.98	41.55	51.59	5.37	3031.79	0
174.72	54.71	25.21	8.3	2399.77	0
26.15	21.23	49.38	3.22	841.33	0
197.34	51.87	35.26	12.7	3572.91	1
99.13	40.01	31.34	10.47	3494.69	0
65.63	27.69	12.98	7.8	1533.71	0
72.44	23.8	50.72	12.79	3231.79	0
91.63	62.87	32.83	12.68	2326.47	0
123.06	52.67	5.3	7.79	3827.1	1
17.64	30.75	5.91	5.99	3391.58	0
48.52	41.27	43.88	4.88	268.08	0
89.64	48.97	13.1	9.48	3705.03	1
178.88	54.4	34.94	15.88	4071.12	1
174.66	61.7	39.05	12.58	3142.84	1
222.6	65.74	18.97	11.2	591.65	0
169.5	62.55	33.47	14.69	3410.24	1
45.68	34.15	17.01	9.91	2754.71	0
85.78	34.28	52.32	6.02	1489.19	1
170.13	41.48	48.01	13.19	3724.53	1
159.87	56.93	19.4	9.15	2418.82	1
75.07	34.06	31.44	7.04	3597.0	1
120.85	23.9	30.03	13.2	2847.47	1
61.84	39.7	53.0	7.58	1282.92	0
24.28	36.93	24.7	9.16	4097.58	0
79.8	67.9	33.11	11.08	2441.12	0
76.45	32.13	51.44	6.75	2218.7	0
59.66	26.66	13.14	1.79	1754.39	0
123.37	33.83	32.52	7.93	659.01	0
73.29	38.63	10.28	5.6	2913.47	0
112.43	47.16	35.87	7.51	1866.28	0
140.57	41.19	23.28	12.91	3931.91	1
320.0	88.3	53.38	18.8	4056.9	1
80.75	14.02	25.77	11.52	3247.33	0
180.44	70.81	11.81	8.77	1094.23	0
101.04	32.98	46.7	11.47	3035.52	1
104.96	42.68	46.04	2.9	183.73	0
81.52	20.81	39.74	11.16	3488.24	0
95.22	33.96	42.44	4.88	2123.84	0
73.78	32.88	18.24	14.12	3940.63	0
161.21	55.33	37.1	5.67	1648.82	0
49.93	36.74	6.9	3.52	1179.01	0
24.06	42.56	14.84	6.93	4179.73	0
58.21	41.6	51.61	6.19	2275.78	0
53.63	43.34	41.96	10.2	3639.05	1
58.19	50.15	16.53	8.88	3835.33	1
78.54	44.12	10.57	9.7	2225.72	1
58.35	32.4	52.45	7.71	1968.43	1
77.76	49.22	10.61	6.42	2366.83	0
58.48	45.74	17.85	9.27	3575.73	0
114.0	52.86	14.13	14.5	4055.11	0
320.0	72.94	5.37	13.53	1446.12	1
99.68	31.83	20.71	7.26	3128.38	0
60.29	29.96	53.71	4.39	1270.04	0
8.49	31.22	22.1	7.52	2604.91	1
259.85	76.91	30.22	15.33	3399.64	0
103.45	56.4	42.3	9.3	3734.59	1
77.27	52.78	32.55	8.77	1939.74	0
9.15	36.4	42.18	3.06	1616.0	0
80.14	52.1	38.08	8.6	1139.15	1
94.67	28.38	35.43	6.21	647.01	0
58.64	38.69	37.48	3.61	1596.16	1
28.47	18.97	44.96	8.52	3675.11	0
26.8	6.11	40.51	4.61	1817.12	1
262.37	74.27	44.59	11.33	1400.9	1
92.83	56.32	12.28	8.94	3130.44	0
58.6	38.42	38.88	2.38	983.9	0
89.09	63.81	41.85	3.01	1150.78	0
84.95	40.82	20.0	12.21	3937.23	0
25.6	55.01	48.73	3.86	434.52	0
154.56	56.13	20.24	8.7	1799.99	0
75.85	36.96	17.19	8.35	2464.68	0
93.7	25.26	48.35	4.78	1044.07	0
210.05	79.54	17.35	9.09	1252.15	0
29.24	20.41	25.78	9.48	1009.57	0
47.93	22.78	23.4	7.9	1515.26	0
107.16	58.95	49.9	11.36	3783.87	0
152.64	67.48	27.76	7.6	1869.51	0
54.54	45.58	39.72	0.19	1813.1	0
56.93	28.18	44.7	8.76	1684.98	0
130.57	48.11	36.4	14.51	4052.87	1
308.33	87.11	52.18	9.48	580.93	1
91.12	49.44	45.13	8.11	3674.69	1
47.81	49.16	25.01	2.66	1441.36	0
37.34	32.63	52.54	11.77	4021.7	1
78.38	60.94	31.23	5.83	1392.43	0
148.22	63.38	6.13	6.76	439.78	0
320.0	87.58	18.0	13.6	2232.17	1
69.34	45.2	36.09	7.33	1034.25	0
91.22	60.54	12.84	10.29	3187.26	0
235.94	95.89	34.2	14.67	2794.95	1
105.99	57.56	23.08	4.96	2914.52	0
100.15	42.34	31.72	2.87	893.31	0
208.42	63.25	5.09	11.05	3005.38	0
92.69	47.3	47.42	9.13	1376.46	0
39.93	48.87	23.1	14.6	4194.56	0
182.56	65.37	12.01	11.2	3100.25	1
21.79	30.25	26.9	5.41	2520.69	0
163.69	56.63	29.31	8.33	3655.18	0
86.32	35.06	36.87	10.51	2516.18	0
69.88	33.43	31.23	6.55	2366.27	0
68.58	36.71	7.18	11.05	1072.99	0
78.16	57.81	48.58	7.8	2880.26	0
62.71	30.92	27.83	10.67	1636.04	0
116.35	46.23	8.85	5.83	276.64	0
64.34	23.77	43.64	7.83	3445.85	0
14.81	31.86	38.01	2.96	312.68	0
86.77	55.49	37.47	11.02	2856.43	0
13.85	42.54	26.35	2.49	742.56	0
86.37	41.44	25.52	8.89	1873.54	0
61.78	40.48	31.82	11.88	3622.28	0
156.17	52.51	7.53	6.88	487.12	0
71.98	42.17	19.95	8.43	2835.32	0
142.02	55.01	54.39	8.05	2611.74	1
131.82	49.7	38.11	11.89	3656.87	0
134.17	51.17	25.95	6.51	808.21	0
73.83	41.67	16.12	5.38	3379.13	0
90.31	36.34	42.26	8.08	1945.5	0
114.32	42.24	18.01	7.31	1857.44	0
92.22	60.78	13.12	3.45	1583.32	0
72.1	68.39	12.73	5.25	1680.85	0
42.98	15.0	41.46	6.39	2231.83	0
87.46	24.13	37.14	8.94	537.88	0
24.15	13.83	8.49	5.49	1842.77	0
12.74	21.56	10.75	8.91	2773.12	0
35.27	38.51	36.69	6.33	2142.59	0
133.17	56.39	33.56	2.11	779.9	0
101.53	44.4	39.3	8.68	1588.51	0
134.03	55.83	13.9	6.58	1916.14	0
51.37	23.0	41.33	7.76	2842.39	0
166.3	53.66	51.8	11.22	3793.14	1
26.82	25.66	35.05	6.92	2356.54	0
36.4	9.0	14.81	9.87	2873.11	0
164.48	42.25	38.98	8.47	416.48	0
96.64	27.8	22.15	14.99	4013.31	0
134.55	58.77	7.46	10.64	1392.36	0
101.81	45.34	20.12	2.15	1552.6	0
57.11	39.9	50.28	2.59	1013.66	0
32.81	5.14	25.56	0.0	447.15	0
16.59	5.85	48.23	10.19	3339.19	0
248.24	82.57	30.43	8.11	1086.01	0
20.98	5.0	30.85	3.24	1259.02	0
204.09	79.6	5.26	6.95	845.36	1
93.07	18.6	36.86	12.78	4097.03	1
103.92	52.98	10.39	6.69	3302.24	1
99.42	31.21	28.94	8.76	3912.59	1
123.88	59.84	18.02	11.32	3633.07	0
47.58	68.97	24.62	12.57	3815.82	0
10.86	5.0	31.85	5.64	2064.04	0
56.21	40.71	5.72	1.91	799.22	0
117.13	24.07	19.23	2.06	1440.21	0
36.7	33.2	54.48	7.47	1299.05	0
168.88	54.67	7.87	9.38	3040.25	0
79.18	38.98	20.97	0.89	205.26	0
33.88	16.51	21.07	0.0	682.37	0
96.0	50.49	23.97	6.13	2899.83	1
115.84	28.1	39.24	3.47	606.11	0
121.36	61.6	17.39	4.04	298.0	0
164.59	51.3	28.01	3.75	547.78	0
24.96	8.66	37.24	8.33	2931.76	1
164.74	75.38	21.12	5.95	671.23	0
174.37	57.55	52.44	12.46	699.85	0
32.88	50.12	53.98	1.01	1044.23	0
38.73	43.18	10.98	8.46	3178.73	1
138.96	40.99	22.19	6.75	921.45	0
64.64	33.2	15.4	0.72	245.04	0
190.67	63.4	14.34	13.46	3814.04	1
224.16	87.63	29.55	15.92	3692.91	0
33.85	32.7	33.19	4.1	857.76	0
46.84	32.42	26.28	7.75	1187.9	0
92.65	37.98	18.63	0.24	873.09	0
10.49	21.7	18.93	5.48	3050.09	0
17.11	39.42	54.61	7.79	1125.04	0
42.67	29.43	51.18	12.69	3918.94	0
272.34	75.17	8.79	15.7	3493.33	1
102.47	35.77	37.83	11.75	2512.44	0
53.0	25.01	27.84	0.0	136.65	0
38.47	11.64	39.44	11.64	3723.04	0
32.55	18.16	34.85	10.69	3083.82	0
56.01	50.3	49.46	8.35	3330.42	1
53.59	29.31	8.35	8.62	394.48	0
73.31	44.58	22.48	9.34	3005.1	1
119.51	16.55	54.27	6.82	3398.82	1
81.56	44.76	14.11	11.78	4022.2	1
144.32	49.82	11.37	7.77	2479.93	0
69.57	29.53	41.45	10.2	2182.97	0
234.82	73.83	43.87	12.36	1844.13	1
142.07	45.31	38.61	9.65	2975.28	0
100.59	16.64	43.81	15.17	3875.37	0
119.77	57.42	39.69	11.67	2559.0	1
57.17	35.49	11.79	2.47	1031.86	0
72.45	32.17	35.41	3.21	172.05	0
70.45	23.9	43.84	9.77	2638.36	0
48.23	12.97	48.28	9.4	3644.85	0
27.85	28.81	17.31	1.63	370.5	0
124.06	66.66	11.37	7.43	1730.04	0
159.09	57.44	44.05	11.14	3954.19	0
112.69	28.2	17.83	3.16	2156.88	0
81.39	40.61	6.6	5.24	1004.7	0
300.87	85.55	46.26	7.9	1549.99	1
52.48	41.91	30.3	3.93	1773.37	0
102.91	49.92	21.33	0.87	580.89	0
173.76	22.4	5.57	6.98	2809.25	0
35.52	34.36	6.77	7.55	2527.87	0
130.32	36.63	44.63	9.9	2755.66	1
244.4	56.71	29.49	11.99	2604.25	1
86.19	36.7	12.49	0.41	168.36	0
96.78	46.22	22.93	3.68	815.3	1
52.72	11.91	13.27	4.54	778.85	0
118.87	54.61	10.64	4.63	501.6	0
47.31	39.57	18.82	10.19	3115.45	1
82.65	38.75	32.48	6.69	592.56	0
24.81	15.05	15.5	6.63	2839.6	0
5.42	9.44	22.18	0.0	831.4	0
61.02	45.73	28.9	2.25	585.07	0
60.28	15.13	26.0	3.97	766.37	0
64.97	47.07	11.43	5.07	2184.45	0
139.32	48.67	6.94	7.33	2746.48	0
161.95	54.48	6.77	11.73	3428.89	0
105.83	22.79	22.51	10.31	627.11	0
133.06	47.51	40.94	9.03	2626.37	0
48.38	38.01	11.56	8.54	3272.74	0
39.54	12.66	44.35	2.47	1380.86	0
120.47	52.49	40.78	8.12	426.83	0
35.12	28.79	5.2	4.91	739.38	0
31.86	19.29	6.34	4.18	475.39	0
320.0	100.0	14.75	19.34	3737.57	1
90.09	13.39	7.81	5.3	1644.48	0
60.31	37.43	31.57	6.62	2245.73	0
55.26	51.59	6.98	12.32	3251.62	0
25.47	42.88	45.13	6.9	1623.14	0
104.34	47.63	29.65	4.49	2761.32	1
69.45	31.66	41.4	5.1	414.39	0
159.03	47.36	42.54	8.4	2071.71	0
122.95	43.41	30.34	7.3	495.73	0
67.74	41.43	51.27	6.61	1117.96	0
13.78	13.34	54.51	0.98	1302.7	0
90.26	48.95	22.96	10.01	3042.09	1
84.74	64.24	11.29	9.09	2863.83	0
10.86	21.65	23.16	8.48	3163.03	1
113.79	28.9	16.17	5.72	353.2	0
34.11	11.37	31.55	13.78	4175.05	0
164.32	65.47	23.92	6.76	323.12	0
81.17	37.14	29.02	10.28	3485.57	1
54.08	42.42	43.16	11.73	3135.1	1
99.12	35.4	18.7	13.43	2526.22	0
95.01	50.87	31.87	9.48	1899.31	0
92.64	38.48	21.76	10.22	3204.24	0
150.71	44.37	44.25	12.59	3133.42	1
103.24	37.9	36.98	5.89	662.43	0
50.44	16.73	5.43	8.64	3349.79	0
70.98	59.49	38.0	8.83	422.08	0
201.83	63.25	13.51	8.54	2152.24	1
46.98	38.07	41.22	10.74	2744.84	0
112.57	38.32	33.37	10.81	3468.92	0
154.26	41.31	25.07	5.72	1998.75	0
119.83	43.56	39.7	6.22	1071.12	0
90.64	53.16	47.83	6.98	2111.7	1
100.45	35.85	43.94	7.63	1125.85	0
124.82	37.01	32.27	9.16	2267.77	1
46.54	32.1	41.13	4.44	1996.28	0
85.12	44.71	25.7	13.11	3300.07	0
299.81	100.0	44.45	13.67	1084.37	0
114.88	49.52	46.45	9.86	919.94	0
92.85	48.16	11.86	7.73	2044.16	0
65.92	43.13	16.9	3.11	307.07	0
46.95	16.49	18.5	5.76	1040.3	0
102.71	31.04	13.3	5.23	1550.19	0
107.53	30.65	24.63	8.29	2099.28	1
81.19	21.88	14.65	4.92	1204.69	0
320.0	99.95	34.78	10.95	2398.61	1
50.2	34.53	10.08	9.69	3701.5	0
41.42	30.07	18.5	5.69	2329.28	0
66.61	5.0	38.28	5.14	1276.04	0
83.02	62.93	24.93	4.71	354.12	0
45.06	19.18	26.07	6.4	660.33	0
101.06	66.85	44.9	7.08	2400.99	0
108.47	26.47	54.23	9.63	2903.21	0
134.47	39.83	33.25	3.62	303.64	0
58.96	6.54	8.95	2.09	860.75	0
191.45	66.46	10.15	7.05	1408.23	0
128.69	35.1	53.43	7.44	1411.07	0
49.41	18.0	38.96	12.06	4029.47	0
44.9	13.41	42.62	5.26	935.46	0
69.94	44.71	38.79	1.61	356.33	0
108.64	52.44	13.98	9.51	1547.36	0
119.2	67.97	27.42	7.55	651.21	0
128.54	40.05	44.9	4.09	618.99	0
288.19	86.03	48.32	15.15	1770.55	0
18.42	8.58	16.87	4.81	1356.2	0
79.65	33.5	34.8	3.97	476.08	1
273.63	73.97	12.86	13.61	2577.64	0
138.44	56.03	52.91	9.54	2156.97	1
39.37	40.87	17.61	3.96	416.11	0
97.67	53.38	41.33	11.66	3637.25	1
76.36	26.69	16.56	4.62	1267.32	0
74.45	48.36	35.8	6.88	4041.66	0
58.13	32.26	37.96	11.9	3919.31	1
92.4	36.43	21.42	6.28	1879.8	0
169.78	48.85	45.94	9.68	1037.12	0
62.07	26.94	49.27	11.39	3522.9	0
129.15	69.32	47.75	7.32	1581.27	0
143.8	55.33	21.54	8.43	770.56	1
190.48	64.0	42.22	11.49	2361.59	0
44.29	26.6	32.97	7.0	2106.55	0
87.48	68.6	34.63	10.42	3585.07	1
53.2	47.36	28.87	12.44	3090.05	0
92.52	31.7	35.01	9.5	3692.17	1
92.1	36.98	11.78	8.61	3112.28	0
35.89	25.33	25.44	4.78	2732.92	0
96.24	42.92	13.88	9.15	2150.73	0
296.97	76.92	19.01	15.42	4148.97	0
119.51	51.56	11.39	10.8	4032.58	0
29.98	44.02	15.62	7.66	3580.3	0
42.13	13.5	44.1	9.35	3278.81	0
84.46	25.04	32.49	5.61	2467.99	0
42.92	23.64	6.18	0.0	1164.99	0
184.2	55.28	44.43	14.6	3689.3	1
26.92	49.9	50.47	0.0	144.35	0
120.05	58.43	49.02	8.67	1032.5	0
22.03	36.18	46.15	9.14	1755.3	0
83.54	35.21	54.61	8.6	2503.24	0
38.05	24.94	34.32	9.97	2399.61	0
134.28	32.12	53.13	6.77	820.84	0
165.38	65.76	52.44	10.52	529.67	1
108.43	49.75	20.66	4.75	1011.55	0
170.14	72.86	48.17	3.81	1529.71	1
7.85	19.2	44.62	1.95	157.62	1
95.41	39.29	43.79	13.62	2939.07	1
118.95	48.21	49.81	8.13	1115.68	1
128.96	59.07	24.21	6.28	1540.76	0
16.24	5.93	25.0	5.2	1473.1	0
114.44	54.01	37.0	10.82	2198.5	0
130.77	48.52	41.89	11.88	3625.18	1
94.69	28.13	48.99	11.29	712.5	1
30.24	5.0	48.79	4.33	1496.98	0
57.81	31.08	41.07	11.05	2937.32	0
184.78	78.03	52.84	8.68	281.35	0
172.07	77.95	13.93	10.62	3502.91	1
117.54	50.12	52.52	11.9	4043.48	0
136.09	73.48	8.21	11.53	2591.31	1
159.62	54.6	32.78	13.67	4021.68	0
116.66	57.1	9.51	7.99	1793.55	0
181.55	54.53	33.4	5.88	1801.63	0
177.85	52.95	24.51	8.07	535.62	0
320.0	82.27	9.08	9.85	245.33	0
59.63	8.39	37.41	4.99	1102.47	0
60.44	48.74	41.56	7.96	2060.33	0
4.03	13.19	13.71	4.41	2181.5	0
111.07	34.82	39.72	4.95	992.06	0
263.94	63.91	13.95	12.14	2612.5	0
190.41	59.44	11.87	6.22	842.94	0
146.87	73.47	12.37	12.15	1437.47	0
198.45	88.78	34.95	10.15	902.41	1
120.33	26.54	43.94	8.39	2956.32	0
70.53	31.26	34.84	12.05	2217.95	0
303.67	74.4	45.47	14.51	3118.01	1
114.67	57.09	34.57	4.97	334.72	0
175.45	62.04	44.87	11.67	1843.98	0
7.77	14.07	53.83	5.84	4064.53	0
9.93	23.05	24.55	1.48	319.84	0
97.44	35.71	12.5	5.62	1815.35	0
42.93	48.82	11.77	2.85	265.63	0
103.52	49.34	34.87	6.18	701.28	0
60.38	41.32	32.36	6.64	1996.36	0
320.0	58.4	14.21	10.07	745.8	0
166.84	55.9	49.11	12.7	2226.9	1
210.28	91.26	52.84	15.51	3883.2	1
12.46	38.65	17.66	3.19	921.67	0
145.62	29.87	15.34	5.93	539.46	0
76.58	33.09	15.7	13.81	3483.63	0
212.74	52.39	24.37	10.78	1987.11	0
132.38	69.66	47.66	11.31	3718.71	1
84.57	41.54	34.8	1.99	1355.11	1
33.1	18.07	8.38	3.73	2672.88	0
96.18	41.57	28.65	10.36	3885.59	1
182.2	28.8	9.52	6.66	803.95	0
220.29	55.44	25.31	12.18	3382.99	0
67.22	35.23	25.18	8.96	2689.22	0
320.0	100.0	37.42	15.05	3433.08	1
173.45	34.86	32.47	5.24	799.84	0
43.65	25.03	48.74	7.92	1879.75	0
35.86	40.01	5.81	5.81	628.23	0
80.05	20.19	43.7	9.23	4036.34	1
67.1	37.51	6.13	3.58	357.04	0
120.96	47.4	20.21	0.58	368.48	0
89.4	60.24	48.98	8.28	3782.44	0
71.3	32.92	39.52	4.64	1333.12	0
23.25	23.05	13.6	9.01	2547.78	0
135.0	59.96	29.54	5.46	1278.65	1
21.39	8.79	41.1	5.79	2759.91	0
173.8	55.59	51.87	8.0	889.12	1
14.08	17.63	36.72	5.81	1981.36	0
20.2	22.78	6.23	4.01	2287.32	0
43.49	39.75	29.99	9.64	1467.94	0
62.76	40.46	12.65	4.07	1131.97	0
53.42	22.77	7.39	3.62	674.85	0
62.56	35.4	34.93	8.04	2995.19	0
104.91	60.97	43.85	6.77	789.96	1
44.31	19.77	6.8	7.09	1297.72	0
105.56	44.97	44.18	10.87	1481.33	1
7.91	19.42	40.32	3.95	1962.9	0
42.97	28.7	42.6	11.02	2980.53	1
19.24	5.0	17.24	6.33	1854.58	0
172.55	74.89	24.68	14.92	3671.48	0
49.14	21.52	10.99	7.58	2887.12	0
129.58	60.82	16.94	10.83	3537.8	1
15.94	16.05	20.14	9.53	3037.05	0
218.04	60.46	20.97	9.99	709.39	0
93.04	55.03	13.75	14.83	4109.5	1
85.79	50.8	14.44	10.09	3325.0	1
23.51	27.68	50.07	7.0	2448.16	0
38.69	37.65	44.19	0.0	777.45	0
72.96	32.59	22.22	0.95	807.99	0
39.94	28.69	52.38	7.18	2618.76	0
161.85	47.67	16.95	6.16	1806.41	0
91.1	50.89	25.34	10.94	2871.02	0
40.36	20.56	45.68	3.02	1626.95	0
146.26	70.0	27.14	8.14	2202.67	0
66.01	30.73	16.73	3.29	870.63	0
142.0	51.49	23.43	8.76	736.32	0
58.33	41.94	30.04	2.19	410.14	0
123.74	47.51	36.03	12.41	3460.52	1
64.3	30.57	25.28	7.92	2377.08	0
161.89	55.26	26.57	15.17	3983.28	0
16.31	34.31	18.2	9.58	3172.89	0
30.8	18.82	31.77	8.49	3251.93	1
77.8	35.6	15.97	3.49	2187.14	0
